id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
281,<span class='from'>c</span><span class='from'>i</span><span class='from'>r</span><span class='from'>c</span><span class='from'>u</span><span class='from'>l</span><span class='from'>a</span><span class='from'>t</span><span class='from'>i</span><span class='from'>o</span><span class='from'>n</span>,<span class='from'>p</span><span class='from'>i</span><span class='from'>p</span><span class='from'>s</span>,<span class='from'>s</span><span class='from'>h</span><span class='from'>a</span><span class='from'>n</span><span class='from'>g</span><span class='from'>h</span><span class='from'>a</span><span class='from'>i</span>,<span class='from'>h</span><span class='from'>i</span><span class='from'>f</span><span class='from'>a</span><span class='from'>l</span><span class='from'>u</span><span class='from'>t</span><span class='from'>i</span><span class='from'>n</span>,<span class='from'>s</span><span class='from'>y</span><span class='from'>m</span><span class='from'>m</span><span class='from'>e</span><span class='from'>t</span><span class='from'>r</span><span class='from'>i</span><span class='from'>e</span><span class='from'>s</span>,<span class='from'>g</span><span class='from'>e</span><span class='from'>n</span><span class='from'>t</span><span class='from'>i</span><span class='from'>l</span><span class='from'>e</span>,<span class='from'>b</span><span class='from'>a</span><span class='from'>s</span><span class='from'>t</span><span class='from'>i</span><span class='from'>o</span><span class='from'>n</span>,<span class='from'>h</span><span class='from'>o</span><span class='from'>r</span><span class='from'>r</span><span class='from'>i</span><span class='from'>f</span><span class='from'>i</span><span class='from'>c</span>,<span class='to'>qc</span><span class='to'>qi</span><span class='to'>qr</span><span class='to'>qc</span><span class='to'>qu</span><span class='to'>ql</span><span class='to'>qa</span><span class='to'>qt</span><span class='to'>qi</span><span class='to'>qo</span><span class='to'>qn</span>,<span class='to'>qp</span><span class='to'>qi</span><span class='to'>qp</span><span class='to'>qs</span>,<span class='to'>qs</span><span class='to'>qh</span><span class='to'>qa</span><span class='to'>qn</span><span class='to'>qg</span><span class='to'>qh</span><span class='to'>qa</span><span class='to'>qi</span>,<span class='to'>qh</span><span class='to'>qi</span><span class='to'>qf</span><span class='to'>qa</span><span class='to'>ql</span><span class='to'>qu</span><span class='to'>qt</span><span class='to'>qi</span><span class='to'>qn</span>,<span class='to'>qs</span><span class='to'>qy</span><span class='to'>qm</span><span class='to'>qm</span><span class='to'>qe</span><span class='to'>qt</span><span class='to'>qr</span><span class='to'>qi</span><span class='to'>qe</span><span class='to'>qs</span>,<span class='to'>qg</span><span class='to'>qe</span><span class='to'>qn</span><span class='to'>qt</span><span class='to'>qi</span><span class='to'>ql</span><span class='to'>qe</span>,<span class='to'>qb</span><span class='to'>qa</span><span class='to'>qs</span><span class='to'>qt</span><span class='to'>qi</span><span class='to'>qo</span><span class='to'>qn</span>,<span class='to'>qh</span><span class='to'>qo</span><span class='to'>qr</span><span class='to'>qr</span><span class='to'>qi</span><span class='to'>qf</span><span class='to'>qi</span><span class='to'>qc</span>,repression,qrqeqpqrqeqsqsqiqoqn,(no hint for this problem)
282,ef<span class='from'>fu</span><span class='from'>si</span><span class='from'>ve</span><span class='from'>ne</span>ss,s<span class='from'>pe</span>edy,un<span class='from'>le</span>ash,b<span class='from'>ro</span><span class='from'>ke</span><span class='from'>re</span>d,<span class='from'>nu</span><span class='from'>ke</span>d,t<span class='from'>ru</span>ff<span class='from'>le</span>,o<span class='from'>pe</span><span class='from'>ra</span><span class='from'>te</span>d,f<span class='from'>re</span>e<span class='from'>la</span>n<span class='from'>ce</span>r,ef<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>ss,s<span class='to'>j</span>edy,un<span class='to'>j</span>ash,b<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>d,<span class='to'>j</span><span class='to'>j</span>d,t<span class='to'>j</span>ff<span class='to'>j</span>,o<span class='to'>j</span><span class='to'>j</span><span class='to'>j</span>d,f<span class='to'>j</span>e<span class='to'>j</span>n<span class='to'>j</span>r,infest,injst,look at <b>vowels</b></li><li>look at <b>consonants</b>
283,snapp<span class='from'>ie</span>st,ratificat<span class='from'>io</span>n,sandbar,inn<span class='from'>ue</span>ndo,strangely,foren<span class='from'>oo</span>n,examining,v<span class='from'>io</span>l,snapp<span class='to'>qie</span>st,ratificat<span class='to'>qio</span>n,sandbar,inn<span class='to'>que</span>ndo,strangely,foren<span class='to'>qoo</span>n,examining,v<span class='to'>qio</span>l,countrywoman,cqountrywoman,look at <b>vowels</b>
284,<span class='from'>wh</span><span class='from'>is</span>k<span class='from'>ey</span>,m<span class='from'>as</span>t<span class='from'>ur</span>b<span class='from'>at</span><span class='from'>in</span>g,r<span class='from'>ep</span>r<span class='from'>es</span><span class='from'>en</span>t,<span class='from'>in</span>t<span class='from'>er</span>p<span class='from'>ol</span><span class='from'>at</span><span class='from'>ed</span>,<span class='from'>es</span>t<span class='from'>at</span>e,<span class='from'>pl</span><span class='from'>eb</span><span class='from'>is</span>c<span class='from'>it</span><span class='from'>es</span>,r<span class='from'>ed</span><span class='from'>is</span><span class='from'>tr</span><span class='from'>ib</span><span class='from'>ut</span>i<span class='from'>on</span>,s<span class='from'>ur</span>g<span class='from'>ic</span><span class='from'>al</span><span class='from'>ly</span>,<span class='to'>f</span><span class='to'>f</span>k<span class='to'>f</span>,m<span class='to'>f</span>t<span class='to'>f</span>b<span class='to'>f</span><span class='to'>f</span>g,r<span class='to'>f</span>r<span class='to'>f</span><span class='to'>f</span>t,<span class='to'>f</span>t<span class='to'>f</span>p<span class='to'>f</span><span class='to'>f</span><span class='to'>f</span>,<span class='to'>f</span>t<span class='to'>f</span>e,<span class='to'>f</span><span class='to'>f</span><span class='to'>f</span>c<span class='to'>f</span><span class='to'>f</span>,r<span class='to'>f</span><span class='to'>f</span><span class='to'>f</span><span class='to'>f</span><span class='to'>f</span>i<span class='to'>f</span>,s<span class='to'>f</span>g<span class='to'>f</span><span class='to'>f</span><span class='to'>f</span>,chessboard,fffofd,look at <b>consonants</b>
285,collective,ge<span class='from'>n</span>iality,<span class='from'>n</span>otoriety,i<span class='from'>n</span>fa<span class='from'>n</span>tryma<span class='from'>n</span>,powwowi<span class='from'>n</span>g,reemerged,whelked,furri<span class='from'>n</span>g,collective,ge<span class='to'>wf</span>iality,<span class='to'>wf</span>otoriety,i<span class='to'>wf</span>fa<span class='to'>wf</span>tryma<span class='to'>wf</span>,powwowi<span class='to'>wf</span>g,reemerged,whelked,furri<span class='to'>wf</span>g,brainstorming,braiwfstormiwfg,(no hint for this problem)
286,<span class='from'>tr</span>o<span class='from'>ub</span>l<span class='from'>es</span>ho<span class='from'>ot</span>s,w<span class='from'>ig</span>g<span class='from'>ed</span>,e<span class='from'>up</span>h<span class='from'>em</span><span class='from'>is</span>t<span class='from'>ic</span>,f<span class='from'>or</span><span class='from'>ev</span><span class='from'>er</span>m<span class='from'>or</span>e,<span class='from'>br</span><span class='from'>it</span><span class='from'>tl</span><span class='from'>en</span><span class='from'>es</span>s,c<span class='from'>at</span><span class='from'>al</span><span class='from'>og</span>u<span class='from'>in</span>g,f<span class='from'>ar</span>r<span class='from'>ow</span><span class='from'>in</span>g,<span class='from'>gr</span>o<span class='from'>un</span><span class='from'>dl</span><span class='from'>es</span>s,<span class='to'>jt</span>o<span class='to'>jt</span>l<span class='to'>jt</span>ho<span class='to'>jt</span>s,w<span class='to'>jt</span>g<span class='to'>jt</span>,e<span class='to'>jt</span>h<span class='to'>jt</span><span class='to'>jt</span>t<span class='to'>jt</span>,f<span class='to'>jt</span><span class='to'>jt</span><span class='to'>jt</span>m<span class='to'>jt</span>e,<span class='to'>jt</span><span class='to'>jt</span><span class='to'>jt</span><span class='to'>jt</span><span class='to'>jt</span>s,c<span class='to'>jt</span><span class='to'>jt</span><span class='to'>jt</span>u<span class='to'>jt</span>g,f<span class='to'>jt</span>r<span class='to'>jt</span><span class='to'>jt</span>g,<span class='to'>jt</span>o<span class='to'>jt</span><span class='to'>jt</span><span class='to'>jt</span>s,mess,mjts,look at <b>consonants</b>
287,bewitches,<span class='from'>in</span>dolence,<span class='from'>up</span>perclassmen,<span class='from'>ex</span>haling,<span class='from'>ea</span>rthenware,<span class='from'>un</span>derpasses,<span class='from'>un</span>stopped,<span class='from'>in</span>filtrated,bewitches,<span class='to'>w</span>dolence,<span class='to'>w</span>perclassmen,<span class='to'>w</span>haling,<span class='to'>w</span>rthenware,<span class='to'>w</span>derpasses,<span class='to'>w</span>stopped,<span class='to'>w</span>filtrated,indicatives,wdicatives,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
288,trive<span class='from'>ts</span>,bidet,basele<span class='from'>ss</span>,dashboar<span class='from'>ds</span>,play,conve<span class='from'>nt</span>,venomous<span class='from'>ly</span>,touris<span class='from'>ts</span>,trive<span class='to'>x</span>,bidet,basele<span class='to'>x</span>,dashboar<span class='to'>x</span>,play,conve<span class='to'>x</span>,venomous<span class='to'>x</span>,touris<span class='to'>x</span>,yelling,yellix,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
289,weakeni<span class='from'>ng</span>,dus<span class='from'>ts</span>,wre<span class='from'>st</span>,standb<span class='from'>ys</span>,outhouses,thor<span class='from'>ns</span>,remou<span class='from'>nt</span>,caske<span class='from'>ts</span>,weakeni<span class='to'>a</span>,dus<span class='to'>a</span>,wre<span class='to'>a</span>,standb<span class='to'>a</span>,outhouses,thor<span class='to'>a</span>,remou<span class='to'>a</span>,caske<span class='to'>a</span>,estimator,estimator,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
290,<span class='from'>m</span>ats,<span class='from'>b</span>ike,<span class='from'>v</span>elveteen,<span class='from'>d</span>esign,<span class='from'>g</span>angsters,<span class='from'>w</span>hirring,<span class='from'>s</span>marts,<span class='from'>u</span>nity,<span class='to'>jo</span>ats,<span class='to'>jo</span>ike,<span class='to'>jo</span>elveteen,<span class='to'>jo</span>esign,<span class='to'>jo</span>angsters,<span class='to'>jo</span>hirring,<span class='to'>jo</span>marts,<span class='to'>jo</span>nity,thawed,johawed,look at the <b>beginning</b> of the word
291,stonewa<span class='from'>re</span>,pluckine<span class='from'>ss</span>,incompatibili<span class='from'>ty</span>,franchisi<span class='from'>ng</span>,hovercra<span class='from'>ft</span>,imitati<span class='from'>ng</span>,buggi<span class='from'>ng</span>,codi<span class='from'>ng</span>,stonewa<span class='to'>ex</span>,pluckine<span class='to'>ex</span>,incompatibili<span class='to'>ex</span>,franchisi<span class='to'>ex</span>,hovercra<span class='to'>ex</span>,imitati<span class='to'>ex</span>,buggi<span class='to'>ex</span>,codi<span class='to'>ex</span>,problematically,problematicalex,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
292,gazebos,peppermi<span class='from'>nt</span>,blamed,arrangeme<span class='from'>nt</span>s,o<span class='from'>ut</span>flanked,envelopme<span class='from'>nt</span>,o<span class='from'>ut</span><span class='from'>st</span>r<span class='from'>et</span>ching,tre<span class='from'>at</span>y,gazebos,peppermi<span class='to'>gnt</span>,blamed,arrangeme<span class='to'>gnt</span>s,o<span class='to'>gut</span>flanked,envelopme<span class='to'>gnt</span>,o<span class='to'>gut</span><span class='to'>gst</span>r<span class='to'>get</span>ching,tre<span class='to'>gat</span>y,badmouth,badmoguth,(no hint for this problem)
293,cultur<span class='from'>e</span>,bombardier,chick,reviv<span class='from'>e</span>,pussies,impends,queued,offshor<span class='from'>e</span>,cultur<span class='to'>y</span>,bombardier,chick,reviv<span class='to'>y</span>,pussies,impends,queued,offshor<span class='to'>y</span>,bullish,bullish,look at the <b>end</b> of the word</li><li>look at <b>vowels</b>
294,discriminan<span class='from'>t</span>,stonewal<span class='from'>l</span>,idio<span class='from'>m</span>,hemispheri<span class='from'>c</span>,sixt<span class='from'>h</span>,damne<span class='from'>d</span>,schematicall<span class='from'>y</span>,showil<span class='from'>y</span>,discriminan<span class='to'>tj</span>,stonewal<span class='to'>lj</span>,idio<span class='to'>mj</span>,hemispheri<span class='to'>cj</span>,sixt<span class='to'>hj</span>,damne<span class='to'>dj</span>,schematicall<span class='to'>yj</span>,showil<span class='to'>yj</span>,marshalled,marshalledj,look at the <b>end</b> of the word</li><li>look at <b>consonants</b>
295,entries,ersatzes,<span class='from'>st</span>illest,<span class='from'>th</span>rilling,lineally,envelopment,<span class='from'>sp</span>icing,<span class='from'>fl</span>outs,entries,ersatzes,<span class='to'>ei</span>illest,<span class='to'>ei</span>rilling,lineally,envelopment,<span class='to'>ei</span>icing,<span class='to'>ei</span>outs,schmoozed,eihmoozed,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
296,<span class='from'>bu</span>rdened,<span class='from'>co</span>mmemorates,earlobes,<span class='from'>st</span>ile,<span class='from'>kl</span>utzy,<span class='from'>tu</span>rned,<span class='from'>st</span>ampedes,<span class='from'>tu</span>xedo,<span class='to'>py</span>rdened,<span class='to'>py</span>mmemorates,earlobes,<span class='to'>py</span>ile,<span class='to'>py</span>utzy,<span class='to'>py</span>rned,<span class='to'>py</span>ampedes,<span class='to'>py</span>xedo,officiated,officiated,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
297,<span class='from'>s</span>pleen<span class='from'>s</span>,photon,wane<span class='from'>s</span>,plagiari<span class='from'>s</span>t<span class='from'>s</span>,technique,mini<span class='from'>s</span>trie<span class='from'>s</span>,perver<span class='from'>s</span>e,di<span class='from'>s</span>e<span class='from'>s</span>tabli<span class='from'>s</span>he<span class='from'>s</span>,<span class='to'>tq</span>pleen<span class='to'>tq</span>,photon,wane<span class='to'>tq</span>,plagiari<span class='to'>tq</span>t<span class='to'>tq</span>,technique,mini<span class='to'>tq</span>trie<span class='to'>tq</span>,perver<span class='to'>tq</span>e,di<span class='to'>tq</span>e<span class='to'>tq</span>tabli<span class='to'>tq</span>he<span class='to'>tq</span>,insouciance,intqouciance,(no hint for this problem)
