id,before_0,before_1,before_2,before_3,before_4,before_5,before_6,before_7,after_0,after_1,after_2,after_3,after_4,after_5,after_6,after_7,test_before,test_after,hint
1138,<span class='from'>v</span>exations,<span class='from'>s</span>hifting,<span class='from'>j</span>ihads,<span class='from'>b</span>undle,<span class='from'>e</span>nraging,<span class='from'>r</span>ucksack,<span class='from'>s</span>hampooing,<span class='from'>f</span>luoresces,<span class='to'>mm</span>exations,<span class='to'>mm</span>hifting,<span class='to'>mm</span>ihads,<span class='to'>mm</span>undle,<span class='to'>mm</span>nraging,<span class='to'>mm</span>ucksack,<span class='to'>mm</span>hampooing,<span class='to'>mm</span>luoresces,watchmaker,mmatchmaker,look at the <b>beginning</b> of the word
1139,<span class='from'>sp</span>iraeas,<span class='from'>ar</span>mchairs,masochist,<span class='from'>im</span>molating,<span class='from'>an</span>odyne,<span class='from'>ax</span>iom,<span class='from'>gr</span>aphically,ionosphere,<span class='to'>tsp</span>iraeas,<span class='to'>tar</span>mchairs,masochist,<span class='to'>tim</span>molating,<span class='to'>tan</span>odyne,<span class='to'>tax</span>iom,<span class='to'>tgr</span>aphically,ionosphere,effacement,teffacement,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1140,<span class='from'>c</span>ockfights,<span class='from'>o</span>utfit,<span class='from'>h</span>ollower,<span class='from'>p</span>epper,<span class='from'>b</span>reathless,<span class='from'>i</span>nsemination,<span class='from'>s</span>unbonnets,<span class='from'>p</span>ops,<span class='to'>pc</span>ockfights,<span class='to'>po</span>utfit,<span class='to'>ph</span>ollower,<span class='to'>pp</span>epper,<span class='to'>pb</span>reathless,<span class='to'>pi</span>nsemination,<span class='to'>ps</span>unbonnets,<span class='to'>pp</span>ops,peruses,pperuses,look at the <b>beginning</b> of the word
1141,<span class='from'>st</span>rives,<span class='from'>wr</span>iter,<span class='from'>gh</span>ostly,diametrically,heraldic,<span class='from'>th</span>rice,<span class='from'>cl</span>ockwise,<span class='from'>cr</span>ossly,<span class='to'>er</span>rives,<span class='to'>er</span>iter,<span class='to'>er</span>ostly,diametrically,heraldic,<span class='to'>er</span>rice,<span class='to'>er</span>ockwise,<span class='to'>er</span>ossly,defrosts,defrosts,look at the <b>beginning</b> of the word</li><li>look at <b>consonants</b>
1142,houseboat<span class='from'>s</span>,turfin<span class='from'>g</span>,buffetin<span class='from'>g</span>,casualt<span class='from'>y</span>,revulsio<span class='from'>n</span>,matriarcha<span class='from'>l</span>,mutabilit<span class='from'>y</span>,stultifyin<span class='from'>g</span>,houseboat<span class='to'>c</span>,turfin<span class='to'>c</span>,buffetin<span class='to'>c</span>,casualt<span class='to'>c</span>,revulsio<span class='to'>c</span>,matriarcha<span class='to'>c</span>,mutabilit<span class='to'>c</span>,stultifyin<span class='to'>c</span>,nostrums,nostrumc,look at the <b>end</b> of the word
1143,d<span class='from'>o</span>nate,retaliati<span class='from'>o</span>ns,squishes,libel,sp<span class='from'>o</span>radic,l<span class='from'>o</span>ck<span class='from'>o</span>uts,leveling,c<span class='from'>o</span>ffeep<span class='from'>o</span>ts,d<span class='to'>vu</span>nate,retaliati<span class='to'>vu</span>ns,squishes,libel,sp<span class='to'>vu</span>radic,l<span class='to'>vu</span>ck<span class='to'>vu</span>uts,leveling,c<span class='to'>vu</span>ffeep<span class='to'>vu</span>ts,grandeur,grandeur,(no hint for this problem)
1144,<span class='from'>p</span><span class='from'>l</span>ea<span class='from'>s</span>a<span class='from'>n</span><span class='from'>t</span><span class='from'>r</span><span class='from'>y</span>,<span class='from'>d</span>e<span class='from'>n</span>u<span class='from'>d</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>r</span>ai<span class='from'>n</span><span class='from'>s</span>,<span class='from'>s</span><span class='from'>m</span>a<span class='from'>s</span><span class='from'>h</span>,<span class='from'>l</span>u<span class='from'>m</span><span class='from'>p</span>e<span class='from'>d</span>,<span class='from'>g</span>u<span class='from'>l</span><span class='from'>c</span><span class='from'>h</span>,<span class='from'>c</span>i<span class='from'>g</span>a<span class='from'>r</span>e<span class='from'>t</span><span class='from'>s</span>,e<span class='from'>n</span><span class='from'>d</span>o<span class='from'>w</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='to'>jp</span><span class='to'>jl</span>ea<span class='to'>js</span>a<span class='to'>jn</span><span class='to'>jt</span><span class='to'>jr</span><span class='to'>jy</span>,<span class='to'>jd</span>e<span class='to'>jn</span>u<span class='to'>jd</span>i<span class='to'>jn</span><span class='to'>jg</span>,<span class='to'>jr</span>ai<span class='to'>jn</span><span class='to'>js</span>,<span class='to'>js</span><span class='to'>jm</span>a<span class='to'>js</span><span class='to'>jh</span>,<span class='to'>jl</span>u<span class='to'>jm</span><span class='to'>jp</span>e<span class='to'>jd</span>,<span class='to'>jg</span>u<span class='to'>jl</span><span class='to'>jc</span><span class='to'>jh</span>,<span class='to'>jc</span>i<span class='to'>jg</span>a<span class='to'>jr</span>e<span class='to'>jt</span><span class='to'>js</span>,e<span class='to'>jn</span><span class='to'>jd</span>o<span class='to'>jw</span>i<span class='to'>jn</span><span class='to'>jg</span>,wristwatches,jwjrijsjtjwajtjcjhejs,look at <b>consonants</b>
1145,potl<span class='from'>uc</span>ks,<span class='from'>ut</span>terly,armlets,straighter,limply,do<span class='from'>ug</span>hty,acc<span class='from'>us</span>toms,b<span class='from'>ul</span>wark,potl<span class='to'>ucy</span>ks,<span class='to'>uty</span>terly,armlets,straighter,limply,do<span class='to'>ugy</span>hty,acc<span class='to'>usy</span>toms,b<span class='to'>uly</span>wark,monstrously,monstrousyly,(no hint for this problem)
1146,<span class='from'>be</span>trays,<span class='from'>sa</span>nitation,<span class='from'>lu</span>mberyards,<span class='from'>re</span>gretful,<span class='from'>pa</span>yment,ascot,<span class='from'>tu</span>mults,insensitive,<span class='to'>oi</span>trays,<span class='to'>oi</span>nitation,<span class='to'>oi</span>mberyards,<span class='to'>oi</span>gretful,<span class='to'>oi</span>yment,ascot,<span class='to'>oi</span>mults,insensitive,surrendered,oirrendered,look at the <b>beginning</b> of the word</li><li>look at <b>vowels</b>
1147,a<span class='from'>ll</span>ayed,mi<span class='from'>ll</span>ionaire,unmercifu<span class='from'>ll</span>y,inherent<span class='from'>ly</span>,ma<span class='from'>ll</span>,reconstituting,hydrometers,redirects,a<span class='to'>lla</span>ayed,mi<span class='to'>lla</span>ionaire,unmercifu<span class='to'>lla</span>y,inherent<span class='to'>lya</span>,ma<span class='to'>lla</span>,reconstituting,hydrometers,redirects,pillories,pillaories,look at <b>consonants</b>
1148,kaboom,ch<span class='from'>i</span>d,sledged,sk<span class='from'>i</span>t,garner<span class='from'>i</span>ng,j<span class='from'>i</span>nr<span class='from'>i</span>ckshas,shoestr<span class='from'>i</span>ngs,vac<span class='from'>i</span>llates,kaboom,ch<span class='to'>iy</span>d,sledged,sk<span class='to'>iy</span>t,garner<span class='to'>iy</span>ng,j<span class='to'>iy</span>nr<span class='to'>iy</span>ckshas,shoestr<span class='to'>iy</span>ngs,vac<span class='to'>iy</span>llates,rib,riyb,(no hint for this problem)
1149,varnis<span class='from'>h</span>es,biopsies,suns<span class='from'>h</span>ine,melanc<span class='from'>h</span>olia,bowlegged,poor<span class='from'>h</span>ouses,claustrop<span class='from'>h</span>obia,undulated,varnis<span class='to'>lt</span>es,biopsies,suns<span class='to'>lt</span>ine,melanc<span class='to'>lt</span>olia,bowlegged,poor<span class='to'>lt</span>ouses,claustrop<span class='to'>lt</span>obia,undulated,stanchest,stancltest,(no hint for this problem)
1150,<span class='from'>r</span>e<span class='from'>c</span>i<span class='from'>p</span><span class='from'>r</span>o<span class='from'>c</span>i<span class='from'>t</span><span class='from'>y</span>,io<span class='from'>t</span>a,<span class='from'>v</span>e<span class='from'>r</span><span class='from'>v</span>e,<span class='from'>r</span>a<span class='from'>w</span><span class='from'>b</span>o<span class='from'>n</span>e<span class='from'>d</span>,<span class='from'>t</span><span class='from'>h</span>i<span class='from'>c</span><span class='from'>k</span>e<span class='from'>r</span>,<span class='from'>p</span>a<span class='from'>r</span><span class='from'>t</span>ia<span class='from'>l</span><span class='from'>s</span>,<span class='from'>g</span><span class='from'>r</span>o<span class='from'>w</span><span class='from'>l</span>i<span class='from'>n</span><span class='from'>g</span>,<span class='from'>p</span><span class='from'>l</span>u<span class='from'>r</span>a<span class='from'>l</span>,<span class='to'>dv</span>e<span class='to'>dv</span>i<span class='to'>dv</span><span class='to'>dv</span>o<span class='to'>dv</span>i<span class='to'>dv</span><span class='to'>dv</span>,io<span class='to'>dv</span>a,<span class='to'>dv</span>e<span class='to'>dv</span><span class='to'>dv</span>e,<span class='to'>dv</span>a<span class='to'>dv</span><span class='to'>dv</span>o<span class='to'>dv</span>e<span class='to'>dv</span>,<span class='to'>dv</span><span class='to'>dv</span>i<span class='to'>dv</span><span class='to'>dv</span>e<span class='to'>dv</span>,<span class='to'>dv</span>a<span class='to'>dv</span><span class='to'>dv</span>ia<span class='to'>dv</span><span class='to'>dv</span>,<span class='to'>dv</span><span class='to'>dv</span>o<span class='to'>dv</span><span class='to'>dv</span>i<span class='to'>dv</span><span class='to'>dv</span>,<span class='to'>dv</span><span class='to'>dv</span>u<span class='to'>dv</span>a<span class='to'>dv</span>,sacks,dvadvdvdv,look at <b>consonants</b>
1151,<span class='from'>m</span><span class='from'>e</span><span class='from'>n</span><span class='from'>t</span><span class='from'>i</span><span class='from'>o</span><span class='from'>n</span><span class='from'>s</span>,<span class='from'>d</span><span class='from'>i</span><span class='from'>s</span><span class='from'>t</span><span class='from'>r</span><span class='from'>a</span><span class='from'>c</span><span class='from'>t</span><span class='from'>i</span><span class='from'>o</span><span class='from'>n</span>,<span class='from'>h</span><span class='from'>e</span><span class='from'>a</span><span class='from'>r</span><span class='from'>s</span>,<span class='from'>s</span><span class='from'>i</span><span class='from'>x</span><span class='from'>t</span><span class='from'>h</span>,<span class='from'>d</span><span class='from'>i</span><span class='from'>s</span><span class='from'>a</span><span class='from'>s</span><span class='from'>s</span><span class='from'>e</span><span class='from'>m</span><span class='from'>b</span><span class='from'>l</span><span class='from'>e</span>,<span class='from'>l</span><span class='from'>e</span><span class='from'>t</span>,<span class='from'>l</span><span class='from'>o</span><span class='from'>i</span><span class='from'>t</span><span class='from'>e</span><span class='from'>r</span><span class='from'>e</span><span class='from'>r</span><span class='from'>s</span>,<span class='from'>c</span><span class='from'>h</span><span class='from'>a</span><span class='from'>p</span><span class='from'>s</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,<span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span><span class='to'>v</span>,anecdota,vvvvvvvv,(no hint for this problem)
1152,comprehe<span class='from'>ns</span>ively,moats,digestive,sober<span class='from'>ne</span>ss,<span class='from'>nu</span>tty,machi<span class='from'>ne</span>ry,reckon,i<span class='from'>ni</span>mitably,comprehe<span class='to'>qi</span>ively,moats,digestive,sober<span class='to'>qi</span>ss,<span class='to'>qi</span>tty,machi<span class='to'>qi</span>ry,reckon,i<span class='to'>qi</span>mitably,incidences,iqiideqies,(no hint for this problem)
1153,<span class='from'>ca</span>ps<span class='from'>ta</span>n,<span class='from'>re</span><span class='from'>me</span><span class='from'>di</span>ed,<span class='from'>lo</span>b<span class='from'>bi</span>ng,<span class='from'>co</span>r<span class='from'>sa</span>irs,<span class='from'>gi</span>p<span class='from'>si</span>es,<span class='from'>te</span>r<span class='from'>mi</span>ng,in<span class='from'>de</span><span class='from'>te</span>r<span class='from'>mi</span><span class='from'>na</span><span class='from'>te</span>,<span class='from'>ja</span>ck<span class='from'>bo</span>ot,<span class='to'>xca</span>ps<span class='to'>xta</span>n,<span class='to'>xre</span><span class='to'>xme</span><span class='to'>xdi</span>ed,<span class='to'>xlo</span>b<span class='to'>xbi</span>ng,<span class='to'>xco</span>r<span class='to'>xsa</span>irs,<span class='to'>xgi</span>p<span class='to'>xsi</span>es,<span class='to'>xte</span>r<span class='to'>xmi</span>ng,in<span class='to'>xde</span><span class='to'>xte</span>r<span class='to'>xmi</span><span class='to'>xna</span><span class='to'>xte</span>,<span class='to'>xja</span>ck<span class='to'>xbo</span>ot,hims,xhims,look at <b>vowels</b>
